id,tweet
1491915676038148096,n acredito q peguei essa merda de covid dnv🙄🤦🏻‍♀️
1491915668727418880,A culpa é da vacina do covid https://t.co/GXJ0ZVWp5i
1491915567023988739,@ndrade_brenda Eu leio em todo lugar kkkkkk pois tempo quase não tenho... li um monte essa semana pq estou com covid e tipo não paro pra ler sabe..viro a madrugada lendo
1491915551458930688,Essa semana eu ando tão cansado por causa do trabalho. Ainda não estou no pique de antes de pegar covid/férias de dezembro. Espero semana que vem estar melhor.
1491915541833003012,"se até o covid quis me pegar, pq vc não quer 🤨 kkkkkkkkkkkkkkkkk piadista"
1491915498166132741,"JÚRI ADIADO!
Hoje por volta das 19h da noite fomos noticiadas que o promotor está com Covid e entrou com petição ao juiz do caso para cancelamento do júri de amanha... 
Seguimos mobilizadas e estaremos em vigília na nova data ✊✊✊ https://t.co/87IbyHRLQk"
1491915493111959554,"@gtrigoo esses dias foi a gripe, agora o covid? coitada da menina"
1491915449830981646,"o reitor ta com covid, que pena"
1491915411209830406,fiz um teste de covid hoje por conta do trabalho e deu negativo... aí a sensação de saber que não tá com covid é tão boaaaa
1491915401478893568,BORRAZÓPOLIS- Boletim Covid e calendário de vacina para 11 de fevereiro https://t.co/kJioAJGYY1 https://t.co/ugvU7wZy1D
1491915398543036419,@rafaellabritom Meninaaaa passei as férias isolada da influenza e covid kkkkkkk
1491915391907643416,Tomei a terceira dose da vacina do covid e to com meu braço durinho 🥺🥺🥺
1491915389978218504,"@auguriba Ouvi um áudio q dizia isso (morte com 3 anos). Falava tb de picaretas tipo Dr Zelenko. Esses canalhas querem ganhar agora com ""desintoxicação vacinal"".  Ganharam muito dinheiro com kit covid, agora irão explorar outro caminho. Ou isso, ou ganhar monetizando canais."
1491915378175455237,"conheço 4 p com COVID
*1 Janssen, tem dores corpo, tosse
*3 Pfizer, com 3 recente, tem muita tosse
*3 Pfizer, com 3 há 10 dias, sem sintomas
1 n pode tomar vacina, doença autoimmune e n é indicado, tem muita febre, muitas dores, inspira cuidados e remédios
Se pode vacinar, VACINA"
1491915370516652038,"Covid é como uma dor no peito quando levas um corte 
DÓI MAS DEPOIS PASSA😎👍

@luna__espinola ,2022"
1491915362601943046,A Nota Técnica divulgada nesta quinta-feira (10) pela Fiocruz aponta o estado entre as 9 unidades federativas com indicadores iguais ou superiores a 80% dos leitos ocupados.  https://t.co/6CfD0t7Ezu #observatorio #covid-19 #fiocruz #leitos #de #uti
1491915346407833602,"mozão deu negativo pra covid, ou seja, fui a premiadinha 

bicho que nervosooooOoooOOOoooo"
1491915322315714564,"@JornalOGlobo Senhora, você não se vacinou; teve covid; nega a ciência; e se sente sozinha e mal-amada? Nos poupe."
1491915317349658627,"@thinker_PhD @cldfnoticias Acredito  na eficácia  da vacina para barrar o agravamento da COVID  . Os leitos das UTIS  estão  cheios de pessoas que não  se vacinaram . Tomei três  doses da vacina, tive COVID  e foi leve. Não  estou ocupando  leito da UTI por não  ter vacinado."
1491915311150473220,queria militar mas covid me pegou e tou sem cérebro para raciocinar qualquer coisa
1491915292817215489,covid eu te odeio
1491915268624461825,PLANTÃO DO VILLA: CPI DA COVID ENTREGA DENÚNCIA CONTRA BOLSONARO AO TRIB... https://t.co/dE0eYmRrvZ via @YouTube Moro presidente. Bolsoasno genocida miliciano sociopata e Lulla quadrilheiro na cadeia.
1491915262815354895,A primeira semana de estágio tá boa quando você volta com COVID 😎
1491915244414906374,"@Dudu_226 covid né paizão,money ta aqui separadinhooo"
1491915209061158912,VAI SE FODER COVID!!! https://t.co/UUNbhV8P3g
1491915189679271941,"Desde o dia 1 de janeiro q eu não fico boa da gripe, do covid e da sinusite 🥲"
1491915175779258375,"Covid chegou fazendo a lenha na minha casa! Eu, minha esposa, minha sogra e um primo carimbados! menos nossos filhos Otavio e Isabella, e agora? como  cuidar deles? Missão!"
1491915116580945923,Fortaleza terá repescagem neste fim de semana para crianças de 5 a 11 anos que perderam data de vacinação contra a Covid-19 | Ceará | G1 😷💉🙏https://t.co/4VmnlK5RQ8
1491915110146838530,e a julia q postou teste de covid q e eu achei q era de gravidez lkkkkkkk
1491915099052949513,"É como se eu ainda tivesse 15, covid filho da puta https://t.co/MOCmksOUrD"
1491915065305583619,@CantelmoJ @BrunusMG @Atletico @InstitutoGalo Ele devia perguntar aos pais das ceiancas mortas pela covid se preferem s criancas vivas fora da escola ou mortas sabendo ler e escrever
1491915007247929344,Finalmente alguém me quer obrigado COVID 😍
1491914992735686659,"@OGlobo_Rio Vergonha e o servidor público que está de frente, arriscando a vida no combate à COVID-19 ter seus direitos retirados, sem reajuste, sem triênio, PCCs, VA que o mesmo valor a 10 anos isso sim é vergonha prefeito."
1491914992282750981,"@TimInBC @ealboim Ontario 
https://t.co/k1symrIhzQ https://t.co/7ppWrcrSXk"
1491914987824205824,@GefersonSouzaD1 Covid ou o projetinho do quarto da machucação?
1491914984141602834,@voyamorirr eu kero pra fica fortona contra o covid
1491914961236504579,@A_Tay_ta_on Surto de covid é coisa do passado agora a moda é ficar com labio esbucetado
1491914907440357378,tendo q comer pizza no quarto por causa da suspeita de covid 😃
1491914889828483079,"@JaniceAscari Ação do Ministério Público Federal contra a Anvisa e as farmacêuticas sustenta: a vacinação contra covid, como vem sendo efetuada, é um EXPERIMENTO ILEGAL - o que fere o Código de Nuremberg (para os q estão preocupados com os antecedentes históricos). Os cúmplices disso vão pagar"
1491914889643888640,@UOLEsporte #GloboLixo e #UolLixo só existe COVID onde eles não estão
1491914883402809349,@PortaldoJose Eu tô com covid 19
1491914868030685197,"Eu sou grata por nao estar sendo grave, mas Eu vou reclamar aqui todos os dias sim, pois eu acho injusto eu que nao faço nada e nem saio pegar covid e quem vive por ai fazendo uma caralhada de coisa nao pegar vsfdddd"
1491914858090184715,até o covid já pegou ela
1491914818810482692,será q covid vem aí ou será q vaso ruim n quebra msm?
1491914800070381575,@hotztz_ @giopequeno_ não pegou nem covid essa
1491914794638655491,Eu tenho preconceito com quem não tomou nenhuma dose da vacina do COVID
1491914773239410692,"a dor que eu tô sentindo por voltar a treinar tá maltratando, covid fdp que me deixou parada uma semana"
1491914766062870529,O foda da COVID é que não posso pedir socorro pra minha mãe vir cuidar de mim :(
